"name ","type","priceRange","cuisine","aggregatedRating","reviewCount","directUrl","website"
,"Restaurants","Under $10","Mexican","2.4","71","https://www.yelp.com/biz/taco-bell-oakhurst","https://www.tacobell.com/food/cravings-value-menu?utm_source=yelp&utm_medium=paid-social&utm_campaign=cravingsvaluemenu&utm_term=launch"
,"Food","Under $10",,"4.1","28","https://www.yelp.com/biz/mar-val-food-stores-prather","http://marvalfoodstores.org"
,"Restaurants",,"Fast Food","3.3","8","https://www.yelp.com/biz/chesters-fried-chicken-oakhurst",""
,"Food",,,"4.5","6","https://www.yelp.com/biz/pappys-spuds-and-more-oakhurst",""
,"Restaurants","$11-30","Diners","1.9","343","https://www.yelp.com/biz/dennys-oakhurst-2","https://locations.dennys.com/CA/OAKHURST/248806?utm_source=yext&utm_medium=local-listing&utm_campaign=yext-listing"
,"Restaurants","Under $10","Pizza","4","36","https://www.yelp.com/biz/papa-murphys-oakhurst","https://www.papamurphys.com/store-finder/CA/Oakhurst"
,"Restaurants","$11-30","Pizza","3.3","135","https://www.yelp.com/biz/me-n-eds-pizzeria-oakhurst","http://www.meneds.com"
,"Restaurants","Under $10","Fast Food","2.3","82","https://www.yelp.com/biz/mcdonalds-oakhurst","http://www.mcdonalds.com"
,"Restaurants","Under $10","Fast Food","2.6","39","https://www.yelp.com/biz/carls-jr-oakhurst","https://locations.carlsjr.com/ca/oakhurst/40242-hwy-41?utm_source=yext&utm_medium=gmb-button&utm_campaign=search&utm_content=website"
,"Food","$11-30",,"3.1","73","https://www.yelp.com/biz/raleys-oakhurst","https://www.raleys.com/stores/raleys-hwy-49-oakhurst-california/"
,"Restaurants",,"Tacos","3.7","34","https://www.yelp.com/biz/jack-in-the-box-oakhurst-2","https://locations.jackinthebox.com/us/ca/oakhurst/40070-highway-49?utm_source=yelp&utm_medium=local&utm_campaign=yelp-local"
,"Restaurants",,"Breakfast & Brunch","2.5","24","https://www.yelp.com/biz/shaver-lake-gas-and-deli-shaver-lake",""
,"Restaurants","Under $10","Fast Food","2.8","39","https://www.yelp.com/biz/subway-oakhurst-4","https://restaurants.subway.com/united-states/ca/oakhurst/40278-stagecoach-rd?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=7552&utm_campaign=evergreen-2020"
,"Restaurants","Under $10","Delis","3.8","104","https://www.yelp.com/biz/deli-delicious-oakhurst","https://delidelicious.oftendining.com/?store_id=11852"
,"Restaurants",,"Restaurants",,"0","https://www.yelp.com/biz/ol-kettle-restaurant-bass-lake",""
,"Restaurants","$11-30","New American","1.9","7","https://www.yelp.com/biz/the-beach-at-the-point-auberry",""
,"Restaurants",,"Hot Dogs",,"0","https://www.yelp.com/biz/jersey-dogs-oakhurst","http://www.jerseydogs.net"
